base_text,latitude,longitude,month,Canx,aircraft
HILL AFB,41.13211,-111.993982,10,0.1592741935483871,global-Hawk
HILL AFB,41.13211,-111.993982,11,0.1271186440677966,global-Hawk
HILL AFB,41.13211,-111.993982,12,0.1002044989775051,global-Hawk
LACKLAND AFB,29.384228,-98.581108,1,0.0547667342799188,global-Hawk
LACKLAND AFB,29.384228,-98.581108,2,0.0509977827050997,global-Hawk
LACKLAND AFB,29.384228,-98.581108,3,0.0362903225806451,global-Hawk
LACKLAND AFB,29.384228,-98.581108,4,0.0271398747390396,global-Hawk
LACKLAND AFB,29.384228,-98.581108,5,0.0181818181818181,global-Hawk
LACKLAND AFB,29.384228,-98.581108,6,0.00625,global-Hawk
LACKLAND AFB,29.384228,-98.581108,7,0.002020202020202,global-Hawk
LACKLAND AFB,29.384228,-98.581108,8,0.002020202020202,global-Hawk
LACKLAND AFB,29.384228,-98.581108,9,0.0041753653444676,global-Hawk
LACKLAND AFB,29.384228,-98.581108,10,0.0201612903225806,global-Hawk
LACKLAND AFB,29.384228,-98.581108,11,0.0187891440501043,global-Hawk
LACKLAND AFB,29.384228,-98.581108,12,0.0544354838709677,global-Hawk
LANGLEY AFB,37.09681,-76.35369,1,0.0404040404040404,global-Hawk
LANGLEY AFB,37.09681,-76.35369,2,0.0554323725055432,global-Hawk
LANGLEY AFB,37.09681,-76.35369,3,0.0544354838709677,global-Hawk
LANGLEY AFB,37.09681,-76.35369,4,0.0417536534446764,global-Hawk
LANGLEY AFB,37.09681,-76.35369,5,0.0345528455284552,global-Hawk
LANGLEY AFB,37.09681,-76.35369,6,0.05,global-Hawk
LANGLEY AFB,37.09681,-76.35369,7,0.0463709677419354,global-Hawk
LANGLEY AFB,37.09681,-76.35369,8,0.0383838383838383,global-Hawk
LANGLEY AFB,37.09681,-76.35369,9,0.0334029227557411,global-Hawk
LANGLEY AFB,37.09681,-76.35369,10,0.0282258064516129,global-Hawk
LANGLEY AFB,37.09681,-76.35369,11,0.0382978723404255,global-Hawk
LANGLEY AFB,37.09681,-76.35369,12,0.0403225806451612,global-Hawk
NELLIS AFB,36.236197,-115.034253,1,0.0040567951318458,global-Hawk
NELLIS AFB,36.236197,-115.034253,2,0.0088691796008869,global-Hawk
NELLIS AFB,36.236197,-115.034253,3,0.0202020202020202,global-Hawk
NELLIS AFB,36.236197,-115.034253,4,0.03125,global-Hawk
NELLIS AFB,36.236197,-115.034253,5,0.0223123732251521,global-Hawk
NELLIS AFB,36.236197,-115.034253,6,0.0104602510460251,global-Hawk
NELLIS AFB,36.236197,-115.034253,7,0.0,global-Hawk
NELLIS AFB,36.236197,-115.034253,8,0.0,global-Hawk
NELLIS AFB,36.236197,-115.034253,9,0.0147058823529411,global-Hawk
NELLIS AFB,36.236197,-115.034253,10,0.0080645161290322,global-Hawk
NELLIS AFB,36.236197,-115.034253,11,0.0083857442348008,global-Hawk
NELLIS AFB,36.236197,-115.034253,12,0.0081799591002045,global-Hawk
PATRICK SFB,28.25,-80.6166666,1,0.0526315789473684,global-Hawk
PATRICK SFB,28.25,-80.6166666,2,0.0443458980044345,global-Hawk
PATRICK SFB,28.25,-80.6166666,3,0.0120967741935483,global-Hawk
PATRICK SFB,28.25,-80.6166666,4,0.01875,global-Hawk
PATRICK SFB,28.25,-80.6166666,5,0.0120967741935483,global-Hawk
PATRICK SFB,28.25,-80.6166666,6,0.00625,global-Hawk
PATRICK SFB,28.25,-80.6166666,7,0.0040322580645161,global-Hawk
PATRICK SFB,28.25,-80.6166666,8,0.0101010101010101,global-Hawk
PATRICK SFB,28.25,-80.6166666,9,0.0125786163522012,global-Hawk
PATRICK SFB,28.25,-80.6166666,10,0.0283400809716599,global-Hawk
PATRICK SFB,28.25,-80.6166666,11,0.0167364016736401,global-Hawk
PATRICK SFB,28.25,-80.6166666,12,0.0283975659229208,global-Hawk
PETERSON AFB,38.805805,-104.700778,1,0.0423387096774193,global-Hawk
PETERSON AFB,38.805805,-104.700778,2,0.0757238307349666,global-Hawk
PETERSON AFB,38.805805,-104.700778,3,0.0786290322580645,global-Hawk
PETERSON AFB,38.805805,-104.700778,4,0.0895833333333333,global-Hawk
PETERSON AFB,38.805805,-104.700778,5,0.0463709677419354,global-Hawk
PETERSON AFB,38.805805,-104.700778,6,0.01875,global-Hawk
